City,Region,Year,Population,Avg_Income_USD,Num_Furniture_Stores,Market_Size_USD_Millions,CAGR_Percent,Wood_Share,Plastic_Share,Metal_Share,Wicker_Share,Fabric_Share,Online_Share,Offline_Share,Residential_Share,Commercial_Share,IKEA_Revenue_USD_M,Godrej_Revenue_USD_M,Pepperfry_Revenue_USD_M,UrbanLadder_Revenue_USD_M,Nilkamal_Revenue_USD_M,Lamps_Lighting_Revenue_USD_M,Kitchen_Dining_Revenue_USD_M,Home_Decor_Revenue_USD_M,Living_Room_Revenue_USD_M,Bedroom_Revenue_USD_M,Outdoor_Revenue_USD_M,Home_Office_Revenue_USD_M,Kids_Furniture_Revenue_USD_M,Latitude,Longitude,Sofas_Sold,DiningTables_Sold,HouseholdItems_Sold,DecorItems_Sold,HomeOffice_Sold,KidsFurniture_Sold,OutdoorFurniture_Sold,KitchenFurniture_Sold
Bangalore,South India,2020,8051697,3049.68,412,120.06,9.07,72.59,14.58,5.68,1.7,5.45,29.69,70.31,64.15,35.85,15.61,22.22,5.07,3.83,9.73,7.78,13.46,15.06,28.31,29.68,8.71,10.67,6.4,12.9716,77.5946,1590,507,2424,1171,301,190,209,375
Bangalore,South India,2021,3148717,1646.87,709,91.01,6.01,79.41,8.85,5.64,2.8,3.3,31.13,68.87,73.51,26.49,9.71,11.13,8.82,6.36,7.51,8.75,12.52,12.48,20.47,19.65,6.46,7.04,3.65,12.9716,77.5946,721,605,1229,456,445,152,535,947
Bangalore,South India,2022,22302443,3443.78,545,35.95,7.45,78.12,10.8,8.12,1.06,1.9,30.25,69.75,70.78,29.22,4.99,10.22,5.34,4.12,3.38,2.12,3.33,5.56,9.55,5.27,4.51,2.61,3,12.9716,77.5946,1941,925,1088,732,465,275,584,947
Bangalore,South India,2023,11915089,3262.38,83,122.34,11.21,74.08,13.7,9.13,4.07,-0.98,32.15,67.85,73.19,26.81,18.22,14.68,13.8,7.49,6.84,7.75,17.05,23.93,27.44,20.5,8.31,8.09,9.27,12.9716,77.5946,771,778,2958,251,547,343,323,993
Chennai,South India,2018,11091693,3300.82,634,65.65,10.15,78.27,8.82,9.73,3,0.18,29.35,70.65,55.8,44.2,14.56,13.35,12.15,4.87,2.91,4.95,9.59,8,12.2,13.03,7.52,6.91,3.45,13.0827,80.2707,1192,981,876,1394,612,355,553,889
Chennai,South India,2019,1633255,3140.66,529,129.05,7.75,66.88,11.25,7.78,1.2,12.89,17.64,82.36,72.03,27.97,27.07,25.74,13.78,10.1,6.41,10.73,18.04,21.91,21.83,22.32,16.84,8.17,9.21,13.0827,80.2707,846,635,1907,1290,418,303,461,825
Chennai,South India,2020,5406767,2651.5,366,76.75,6.9,70.13,9.82,7.04,3.65,9.36,18.91,81.09,63.83,36.17,11.57,15.16,10.28,7.42,7.59,7.12,9.28,12.4,18.38,15.32,6.82,4.63,2.79,13.0827,80.2707,930,682,2369,499,316,229,182,466
Chennai,South India,2021,3228162,2356.39,217,112.48,8.44,70.22,6.78,9.89,3.69,9.42,33.18,66.82,65.31,34.69,26.06,18.1,15.12,7.93,8.75,7.22,16.88,17.2,23.41,20.02,14.23,9.08,4.43,13.0827,80.2707,1849,349,1250,871,133,89,568,645
Chennai,South India,2022,1005179,1591.19,94,61.22,6.25,77.02,9.4,9.96,1.87,1.75,19.86,80.14,74.18,25.82,12.96,9.52,7.02,3.93,3.75,7.02,8.05,8.39,11.46,11.82,5.14,5.85,3.48,13.0827,80.2707,1826,520,1126,977,365,569,116,423
Chennai,South India,2023,15977074,1610.81,757,78.83,8.46,61.94,13.13,9.8,2.02,13.11,21.56,78.44,63.37,36.63,8.35,12.74,11.22,4.62,3.91,6.74,9.85,11.05,16.95,16.05,5.98,6.24,5.97,13.0827,80.2707,1337,1163,2129,1031,739,595,628,734
Hyderabad,South India,2018,1143259,1884.07,84,95.65,5.12,70.2,7.31,6,3.04,13.45,25.87,74.13,55.14,44.86,21.84,13.89,6.66,5,2.53,5.35,9.67,12.32,24.24,17.06,11.55,7.73,7.73,17.385,78.4867,1077,1002,1494,431,179,285,599,364
Hyderabad,South India,2019,9388152,2652.15,375,51.75,8.15,73.4,12.92,7.95,1.61,4.12,17.64,82.36,74.78,25.22,8.85,11.89,9.52,2.55,5.08,2.86,5.04,8.77,12.5,8.29,5.83,4.33,4.14,17.385,78.4867,1975,397,2083,1174,776,512,412,876
Hyderabad,South India,2020,19900540,3379.21,103,36,6.11,63.14,9.67,6.55,2.79,17.85,30.33,69.67,58.32,41.68,5.07,6.99,1.68,4.69,1.64,3.25,5.29,4.94,8.54,5.46,3.99,2.31,2.23,17.385,78.4867,663,937,1202,1291,512,277,476,943
Hyderabad,South India,2021,2984231,1360.33,658,43.85,8.81,67.72,11.92,9.54,4.07,6.75,28.37,71.63,55.71,44.29,12.02,6.52,6.88,1.56,5.28,2.64,4.15,8.14,8.7,9.15,5.34,3.29,2.44,17.385,78.4867,418,413,2559,227,351,532,375,899
Hyderabad,South India,2022,1065300,2617,456,105.67,10.76,71.45,12.25,5.13,4.17,7,27.34,72.66,74,26,17.42,11.64,11.29,6.25,10.73,12.73,14.51,18.67,20.79,15.99,9.56,8.84,4.58,17.385,78.4867,1561,180,1679,1274,111,479,186,855
Hyderabad,South India,2023,4900190,2329.71,193,32.64,7.2,72.43,7.84,5.67,4.62,9.44,16.21,83.79,56.83,43.17,6.31,7.3,7.95,2.58,3.84,2.21,3.39,6.04,6.82,6.36,4.09,2.09,1.65,17.385,78.4867,845,754,976,1483,500,71,609,851
Pune,West India,2018,3427680,1224.61,91,114.71,6.57,68.59,5.67,5.81,4.84,15.09,28.95,71.05,69.19,30.81,17.15,18.71,12.79,5.84,7.78,8.24,15.85,16.92,24.79,21.01,11.25,6.64,10.01,18.5204,73.8567,1492,651,900,790,381,392,162,942
Pune,West India,2019,4812814,3327.6,338,84.65,5.73,75.52,11.81,7.02,2.53,3.12,19.17,80.83,55.71,44.29,14,13.26,10.63,10.33,6.57,8.02,12.26,13.48,16.35,15.99,9.01,5.78,3.77,18.5204,73.8567,821,1035,2724,984,211,89,367,531
Pune,West India,2020,12430935,2510.48,298,114.92,9.07,64.06,6.08,5.77,4.79,19.3,15.53,84.47,67.87,32.13,11.19,13.55,11.22,10.06,7.37,11.64,18.1,12.92,24.93,15.54,11.56,12.41,7.81,18.5204,73.8567,933,698,556,819,477,222,540,997
Pune,West India,2021,19294358,2993.75,472,27.49,8.83,60.18,7.89,9.88,1.71,20.34,16.23,83.77,69.3,30.7,8.65,6.19,1.98,3.71,1.51,1.97,3.5,3.62,5.23,6.03,2.91,2.07,2.15,18.5204,73.8567,1980,988,2375,785,367,488,294,336
Pune,West India,2022,12339196,1910.85,319,135.7,10.26,60.65,6.05,9.21,3.38,20.71,15.12,84.88,71.09,28.91,26.86,25.15,14.44,9.74,10.69,7.23,19.01,22.16,30.39,25.91,11.05,10.71,9.25,18.5204,73.8567,1262,997,947,1201,397,228,360,635
Pune,West India,2023,5843012,2735.72,354,72.69,10.69,71.13,13.34,6.18,4.81,4.54,22.3,77.7,65.64,34.36,17.47,10.48,8.93,7.58,7.14,3.75,10.64,12.75,14.52,15.41,5.6,5.05,4.96,18.5204,73.8567,1257,763,702,383,416,182,538,593
Ahmedabad,West India,2018,22771656,2486.54,110,10.78,9.67,79.52,9.69,9.24,4.03,-2.48,29.76,70.24,66.03,33.97,1.38,0.07,4.32,0,0.89,1.09,1.3,1.41,2.64,1.97,0.88,1.02,0.47,23.0225,72.5714,1182,561,2156,1246,669,400,423,155
Ahmedabad,West India,2019,1127925,2317.58,576,123.31,6.66,69.44,13.11,8.39,2.77,6.29,27.58,72.42,74.09,25.91,12.28,23.29,8.31,8.49,5.15,8.28,20.13,15.48,28.5,19.11,12.42,14.07,5.31,23.0225,72.5714,1079,581,1237,328,608,574,273,297
Ahmedabad,West India,2020,6713002,2919.81,343,101.8,10.41,72.99,12.96,7.11,4.48,2.46,31.25,68.75,67.14,32.86,15.01,20.25,12.13,7.44,4.49,7.52,12.3,15.26,24.11,15.18,9.3,9.54,8.59,23.0225,72.5714,1170,827,701,490,645,589,237,506
Ahmedabad,West India,2021,13054510,1488.35,88,40.53,7.16,69.53,5.83,7.52,1.73,15.39,16.04,83.96,61.78,38.22,5.23,10.06,1.55,5.92,3.11,2.23,5.68,7.04,7.49,8.48,4.48,3.05,2.08,23.0225,72.5714,815,308,1853,700,464,555,544,888
Ahmedabad,West India,2022,22467502,1975.93,156,60.16,10.77,70.67,9.46,8.61,3.82,7.44,18.06,81.94,56.35,43.65,7.74,10.37,10.22,4.53,5.32,5.04,6.56,11.89,13.67,8.81,4.8,5.08,4.31,23.0225,72.5714,1237,163,2910,385,646,133,183,136
Ahmedabad,West India,2023,4877125,2157.7,482,58.28,11.86,65.02,5.64,8.5,4.66,16.18,15.26,84.74,60.94,39.06,11.97,11.91,9.02,3.16,1.32,4.04,8.58,10.01,12.17,10.08,3.5,5.57,4.33,23.0225,72.5714,1720,522,1391,678,370,513,113,830
Kolkata,East India,2018,21415796,1749.02,333,44.95,9.8,77.16,5.92,8.58,2.43,5.91,17.96,82.04,68.17,31.83,3.32,9.24,4.57,4.62,5.57,3.29,4.61,7.71,10.07,10.74,3.2,3.12,2.22,22.5726,88.3639,1165,374,2903,691,573,392,181,949
Kolkata,East India,2019,15593332,1229.43,494,65.33,10.16,60.35,10.64,9.85,3.8,15.36,27.03,72.97,62.83,37.17,17.4,8.37,7.28,2.4,5.14,5.36,10.33,11.46,14.92,10.31,4.14,5.68,3.12,22.5726,88.3639,405,660,715,712,636,329,404,167
Kolkata,East India,2020,11865129,1958.61,365,110.79,9.86,68.42,9.11,8.55,3.39,10.53,21.33,78.67,65.86,34.14,12.38,15.47,13.42,6.28,9.33,9.96,10.86,18.72,25.17,19.95,10,9.45,6.69,22.5726,88.3639,1408,752,522,1290,333,312,671,181
Kolkata,East India,2021,9940186,2803.88,399,66.44,11.56,60.13,9.36,7.64,3.47,19.4,24.92,75.08,64.84,35.16,13.09,7.18,4.2,4.27,3.78,7.22,6.48,11.13,11.75,15.35,7.37,4.17,2.97,22.5726,88.3639,513,365,2702,666,158,215,220,188
Kolkata,East India,2022,15527499,2995.59,197,53.03,7.52,67.95,6.71,7.98,1.22,16.14,19.05,80.95,64.45,35.55,12.93,10.66,8.54,2.17,5.53,3.36,7.2,8.1,14.97,7.86,5.22,3.98,2.34,22.5726,88.3639,1444,1137,1709,484,350,342,553,778
Kolkata,East India,2023,2030514,2725.83,422,46.85,9.26,73.1,5.58,5.02,3.35,12.95,26.33,73.67,56.18,43.82,9.25,4.93,5.11,1.57,0.8,4.86,5.97,6.49,9.44,9.36,5.75,3.35,1.63,22.5726,88.3639,1455,989,2796,800,185,558,110,990
Jaipur,North India,2018,24871802,1629.85,536,74.58,8.22,72.94,12.48,7.85,4.42,2.31,25.15,74.85,65.89,34.11,10.87,17.02,8.17,4.78,6.04,6.04,11.13,13.46,13.92,14.43,4.85,5.89,4.86,26.9124,75.7873,1149,876,1248,1323,489,275,142,485
Jaipur,North India,2019,9799368,3164.72,64,98.83,8.49,60.01,10.47,6.5,3.28,19.74,19.17,80.83,73.6,26.4,12.57,12.53,11,6.39,3.63,9.52,13.71,13.01,18.62,20.83,12.34,7.28,3.51,26.9124,75.7873,496,703,1304,388,279,219,639,281
Jaipur,North India,2020,5281530,1600.27,345,48.31,11.47,75.68,8.86,8.83,4.52,2.11,16.92,83.08,66.63,33.37,11.84,7.51,9.97,4.41,6.21,3.09,6.76,6.86,10.17,9.98,4.35,4.74,2.35,26.9124,75.7873,318,825,633,1188,248,497,166,858
Jaipur,North India,2021,4269932,2730.3,334,146.25,10.17,65.03,11.2,9.59,2.48,11.7,20.48,79.52,66.53,33.47,34.59,25.81,15.34,12.64,11.62,8.53,20.75,16.33,39.34,33.26,13.33,9.12,5.58,26.9124,75.7873,941,1022,820,1089,682,551,383,607
Jaipur,North India,2022,16727488,2267.33,476,13.41,11.97,64.97,13.33,7.51,2.14,12.05,15.28,84.72,68.02,31.98,6.22,5.15,2.1,0,0.78,1.31,1.69,2.01,2.57,2.93,0.88,1.28,0.74,26.9124,75.7873,1335,432,2937,587,220,576,140,550
Jaipur,North India,2023,6067244,1234.63,327,27.9,6.77,67.22,7.42,8.83,1.98,14.55,15.85,84.15,58.65,41.35,9.48,2.82,2.26,4.15,1.17,2.67,4.03,3.55,6.64,5.75,1.75,2.46,1.05,26.9124,75.7873,1404,983,933,440,704,428,475,978
Lucknow,North India,2018,9613043,1541.76,507,145.37,9.43,69.65,8.86,8.14,2.68,10.67,19.99,80.01,70.37,29.63,33.31,24.97,14.23,10.61,8.84,8.75,21.09,26.19,28.44,31.46,7.9,11.67,9.87,26.8467,80.9462,629,686,1545,616,355,250,413,608
Lucknow,North India,2019,21883867,1733.51,684,12.55,8.6,61.15,14.56,5.71,2.44,16.14,27.35,72.65,59.58,40.42,6.17,2.2,2.35,0,0.27,0.77,1.66,1.46,3.08,2.24,1.56,1.31,0.47,26.8467,80.9462,1165,1072,1372,375,408,299,490,349
Lucknow,North India,2020,9228443,1500.92,193,53.65,11.03,72.21,7.93,8.87,4.78,6.21,23.18,76.82,74.98,25.02,12.29,11.15,3.09,6.53,6.87,4.85,6.49,5.9,12.5,11.08,6.09,4.5,2.26,26.8467,80.9462,1073,991,2598,586,158,458,363,489
Lucknow,North India,2021,9670881,1939.09,745,146.87,6.22,62.58,5.28,5.3,2.02,24.82,33.3,66.7,60.15,39.85,17.74,29.1,9.76,8.95,7.39,12.12,22.45,26.61,32.75,21.81,9.14,14.89,7.11,26.8467,80.9462,691,1097,2723,1052,168,174,545,297
Lucknow,North India,2022,4686101,1836.26,189,102.24,11.72,72.81,11.47,9.04,4.62,2.06,19.71,80.29,62.62,37.38,19.15,14.41,9.58,8.02,5.07,5.92,14.23,10.92,18.84,22.8,12.04,10.05,7.42,26.8467,80.9462,936,814,752,1456,545,162,159,976
Lucknow,North India,2023,19920664,3254.07,526,36.93,10.02,71.91,8.98,7.28,1.25,10.58,27.96,72.04,71.67,28.33,7.71,6.76,5.74,1.51,5.16,3.31,5.24,6.77,6.72,5.3,3.62,3.76,2.21,26.8467,80.9462,606,216,1465,862,487,186,156,529
Guwahati,East India,2018,5378795,2471.29,522,127.25,9.05,76.3,14.21,6.44,4.66,-1.61,26.2,73.8,57.59,42.41,26.81,27.16,7.17,11.09,11.62,10.22,18.01,21.65,29.77,18.43,10.53,11.01,7.63,26.1445,91.7362,1590,155,1238,651,185,545,619,687
Guwahati,East India,2019,15712033,1333.84,563,112.07,11.3,71.76,12.03,9.89,4.22,2.1,17.72,82.28,64.82,35.18,12.63,19.81,16.02,10.75,8.67,10.17,14.54,14.71,21.22,24.92,10.63,10.01,5.87,26.1445,91.7362,1770,786,1629,476,326,199,440,709
Guwahati,East India,2020,5806679,1567.76,659,100.27,11.03,61.95,5.24,7.99,2.22,22.6,33.51,66.49,57.75,42.25,22.29,10.43,13.57,6.04,3.98,8.53,15.42,11.61,18.37,22.18,11.53,8.89,3.75,26.1445,91.7362,1764,463,1839,1452,692,392,156,389
Guwahati,East India,2021,7886150,3483.92,208,98.56,8.6,64.81,9.93,7.48,4.72,13.06,17.24,82.76,65.04,34.96,16.52,17.03,11.89,10.54,5.95,7.15,9.68,18.16,20.09,21.67,11.2,5.89,4.72,26.1445,91.7362,1194,714,801,1394,725,370,588,325
Guwahati,East India,2022,7262936,2410.76,520,77.7,9.62,76.14,14.57,9.88,3.77,-4.36,24.38,75.62,57.1,42.9,17.91,12.03,4.09,6.84,6.43,6.65,8.11,13.39,17.32,14.41,5.94,7.46,4.41,26.1445,91.7362,951,975,2477,412,283,581,243,912
Guwahati,East India,2023,12292546,2900.83,220,16.53,5.63,79.05,9.72,9.57,1.84,-0.18,16.32,83.68,73.62,26.38,3.13,2.1,2.26,2.6,2.37,1.33,1.68,2.69,3.52,3.35,1.92,1.19,0.84,26.1445,91.7362,1140,655,2815,240,421,338,88,859
Imphal,East India,2018,6590426,3057.79,795,74.65,10.54,72.87,14.95,5.01,4.98,2.19,18.85,81.15,59.33,40.67,9.83,15.16,6.47,6,7.74,6.11,10.35,13.45,13.6,13.79,6.62,7.68,3.05,24.817,93.9368,1325,1175,1050,1345,417,538,254,870
Imphal,East India,2019,21545192,2330.47,450,28.78,9.93,61.92,10.51,5.69,1.64,20.24,34.32,65.68,66.45,33.55,9.31,4.05,4.23,1.73,3.03,2.41,4.45,4.23,7.09,4.94,2.23,1.91,1.51,24.817,93.9368,819,353,1978,1450,665,541,541,919
Imphal,East India,2020,22900881,2633.7,659,116.02,7.78,72.6,8.3,5.46,2.88,10.76,20.48,79.52,61.43,38.57,14.27,11.14,8.64,6.03,9.8,10.91,14.71,17.97,29.62,20.17,8.53,6.39,7.73,24.817,93.9368,1974,811,1815,493,498,301,386,201
Imphal,East India,2021,11742653,2907.17,116,32.22,6.8,76.49,12,9.08,3.91,-1.48,15.72,84.28,64.42,35.58,9.41,4.52,4.91,4.49,1.29,3.16,3.35,5.31,6.81,6.37,2.17,2.19,2.87,24.817,93.9368,935,954,2087,799,392,126,667,965
Imphal,East India,2022,15791740,1452.89,386,109.84,7.78,73.96,10.65,9.13,1.56,4.7,31.25,68.75,58.68,41.32,29.39,14.67,9.55,6.95,7.43,8.67,14.7,13.88,24.34,20.98,11.57,9.32,6.37,24.817,93.9368,1632,553,2322,1490,392,441,324,881
Imphal,East India,2023,19769863,1579.08,213,122.44,6.25,72.64,14.58,7.99,1.56,3.23,19.68,80.32,56.38,43.62,28.8,8.6,10.86,10.12,7.79,8.34,9.39,20.06,28.71,25.32,12.39,11.12,7.11,24.817,93.9368,1039,685,2324,740,584,461,201,312
Aizawl,East India,2018,8516178,2563.57,476,127.52,6.41,64.15,14.5,6.61,2.14,12.6,25.52,74.48,70.63,29.37,27.47,26.28,13.03,10.66,6.72,8.92,20.1,15.32,29.62,24.59,8.53,13.23,7.2,23.7271,92.7176,1845,726,1664,650,546,222,264,737
Aizawl,East India,2019,4060803,2032.95,205,130.87,9.01,69.33,8.96,9.81,1.69,10.21,16.85,83.15,73.39,26.61,26.86,19.49,8.57,14.4,9.92,9.51,15.7,15.35,29.59,23.58,15.44,11.31,10.38,23.7271,92.7176,768,912,813,1284,791,250,111,308
Aizawl,East India,2020,16162929,1606.65,332,100.52,7.36,79.52,7.71,9.4,1.26,2.11,23.47,76.53,65.31,34.69,18.62,15.94,16.52,7.93,8.44,7.19,14.75,17,21.77,20.35,10,6.39,3.09,23.7271,92.7176,511,266,683,1370,511,266,648,395
Aizawl,East India,2021,1904712,1208.09,506,60.24,9.93,78.87,7.97,7.48,3.21,2.47,22.75,77.25,74.1,25.9,12.96,12.34,8.88,6.9,6.44,5.11,7.31,8.54,14.05,10.86,6.04,5.55,2.77,23.7271,92.7176,1435,777,2187,989,607,425,389,193
Aizawl,East India,2022,14440509,2569.38,417,147.06,11.27,62.6,7.34,7.1,3.29,19.67,33.75,66.25,66.74,33.26,33.75,15.73,16.84,11.68,5.04,11.72,19.92,19.15,33.2,29.3,15.72,10.45,7.6,23.7271,92.7176,1331,898,1212,533,343,60,451,129
Aizawl,East India,2023,17627617,1488.36,215,27.14,5.86,75.11,8.9,9.37,4.95,1.67,33.64,66.36,74.85,25.15,5.64,8.28,0.25,2.26,0,2.12,3.45,2.91,5.82,5.52,3.09,2.71,1.52,23.7271,92.7176,1103,254,2675,1090,519,61,675,754
Kohima,East India,2018,24293909,3152.71,446,78.44,11.38,79.28,14.68,6.53,2.34,-2.83,21.5,78.5,63.13,36.87,18.68,9.04,12.28,9.38,1.84,5.6,9.45,10.1,20.02,16.41,6.13,7.49,3.23,25.6701,94.1077,776,644,1810,1365,253,484,135,335
Kohima,East India,2019,4081634,3424.17,527,86.37,5.83,60.99,9.82,5.83,1.35,22.01,34.9,65.1,74.35,25.65,18.57,7.43,10.91,9.77,7.47,7.46,14.03,10.86,20.46,15.68,6.1,7.53,4.25,25.6701,94.1077,1173,195,2933,243,523,422,352,409
Kohima,East India,2020,16522546,1963.98,76,90.7,10.44,62.2,6.41,8.91,3.33,19.15,34.66,65.34,69.27,30.73,21.2,16.28,6.74,6.69,9.45,7,15.43,17.48,17.67,16.31,5.9,6.24,4.67,25.6701,94.1077,759,972,770,343,372,322,543,564
Kohima,East India,2021,10886381,3275.45,116,110.96,11.59,73.15,10.87,8.34,4.92,2.72,28.96,71.04,67.1,32.9,19.32,22.46,11.54,5.82,5.39,10.2,14.43,16.58,27.88,16.53,8.02,9.79,7.52,25.6701,94.1077,552,1131,2294,532,746,558,535,671
Kohima,East India,2022,24059220,2514.97,525,141.8,7.3,65.54,10.47,8.12,2.27,13.6,33.41,66.59,55.39,44.61,34.75,22.26,11.91,14.59,6.96,14.84,17.23,22.83,29.06,21.52,18.91,8.5,8.92,25.6701,94.1077,1849,1109,1310,1197,619,181,328,312
Kohima,East India,2023,7135229,1528.03,145,118.43,8.1,60.57,14.14,6.93,2.76,15.6,33.38,66.62,64.03,35.97,19.84,14.05,15.34,6.21,8.69,6.68,15.14,17.96,31.48,21.36,13.27,7.64,4.9,25.6701,94.1077,1051,994,2962,254,227,368,157,758
Agartala,East India,2018,5201400,2849.38,369,145.46,11.12,64.44,10.31,8.95,4.46,11.84,29.23,70.77,60.13,39.87,17.71,27.18,15.84,6.93,11.63,10.91,22.38,25.05,37.26,24.42,9.67,10.91,4.87,23.8315,91.2868,1761,598,697,1069,472,217,613,408
Agartala,East India,2019,20668185,2718.02,630,146.85,8.85,72.51,8.72,7.6,4.25,6.92,25.42,74.58,66.51,33.49,15.94,16.08,21.31,11.64,13.42,14.39,18.15,22.28,23.75,25.6,17.12,14.58,10.97,23.8315,91.2868,1280,685,1579,996,667,446,187,702
Agartala,East India,2020,5668782,2067.01,608,149.64,11.61,77.89,13.76,6.12,2.12,0.11,22.82,77.18,66.84,33.16,34.07,26.15,19.48,8.77,11.96,14.48,14.7,23.15,37.61,20.41,17.88,13.08,8.33,23.8315,91.2868,1153,660,1726,524,737,229,352,768
Agartala,East India,2021,5499815,2923.72,280,127.52,10.13,76.1,8.87,6.65,1.84,6.54,15.39,84.61,58.84,41.16,29.13,14.56,10.84,9.28,8.41,7.03,17.03,14.83,27.78,27.75,10.96,13.24,8.91,23.8315,91.2868,1984,689,2144,279,258,107,94,263
Agartala,East India,2022,3910797,2099.97,408,49.82,7.08,70.21,6.98,5.85,2.7,14.26,17.46,82.54,66.96,33.04,12.42,9.08,2.43,2.3,0.96,5.43,7.44,7.01,11.86,7.87,2.94,5.27,2,23.8315,91.2868,535,165,1127,1254,670,529,449,508
